img_number,spike position,spike time
84,(12 12)to(14 14),-
85,(12 12)to(14 14),-
86,(12 12)to(14 14),-
87,(12 12)to(14 14),5
88,(12 12)to(14 14),-
89,(12 12)to(14 14),-
90,(12 12)to(14 14),-
91,(12 12)to(14 14),6
92,(12 12)to(14 14),-
93,(12 12)to(14 14),-
94,(12 12)to(14 14),-
95,(12 12)to(14 14),-
96,(12 12)to(14 14),-
97,(12 12)to(14 14),-
98,(12 12)to(14 14),-
99,(12 12)to(14 14),-
100,(12 12)to(14 14),-
101,(12 12)to(14 14),-
102,(12 12)to(14 14),-
103,(12 12)to(14 14),-
104,(12 12)to(14 14),-
105,(12 12)to(14 14),-
106,(12 12)to(14 14),-
107,(12 12)to(14 14),-
108,(12 12)to(14 14),6
109,(12 12)to(14 14),-
110,(12 12)to(14 14),-
111,(12 12)to(14 14),-
112,(12 12)to(14 14),-
113,(12 12)to(14 14),-
114,(12 12)to(14 14),6
115,(12 12)to(14 14),-
116,(12 12)to(14 14),-
117,(12 12)to(14 14),-
118,(12 12)to(14 14),-
119,(12 12)to(14 14),-
120,(12 12)to(14 14),-
121,(12 12)to(14 14),5
122,(12 12)to(14 14),-
123,(12 12)to(14 14),-
124,(12 12)to(14 14),-
125,(12 12)to(14 14),-
126,(12 12)to(14 14),-
127,(12 12)to(14 14),-
128,(12 12)to(14 14),-
129,(12 12)to(14 14),-
130,(12 12)to(14 14),-
131,(12 12)to(14 14),-
132,(12 12)to(14 14),-
133,(12 12)to(14 14),-
134,(12 12)to(14 14),-
135,(12 12)to(14 14),6
136,(12 12)to(14 14),-
137,(12 12)to(14 14),5
138,(12 12)to(14 14),-
139,(12 12)to(14 14),-
140,(12 12)to(14 14),-
141,(12 12)to(14 14),-
142,(12 12)to(14 14),-
143,(12 12)to(14 14),-
144,(12 12)to(14 14),-
145,(12 12)to(14 14),-
146,(12 12)to(14 14),-
147,(12 12)to(14 14),-
148,(12 12)to(14 14),-
149,(12 12)to(14 14),-
150,(12 12)to(14 14),-
151,(12 12)to(14 14),6
152,(12 12)to(14 14),-
153,(12 12)to(14 14),-
154,(12 12)to(14 14),-
155,(12 12)to(14 14),-
156,(12 12)to(14 14),-
157,(12 12)to(14 14),6
158,(12 12)to(14 14),-
159,(12 12)to(14 14),-
160,(12 12)to(14 14),-
161,(12 12)to(14 14),-
162,(12 12)to(14 14),-
163,(12 12)to(14 14),-
164,(12 12)to(14 14),-
165,(12 12)to(14 14),-
166,(12 12)to(14 14),-
167,(12 12)to(14 14),-
168,(12 12)to(14 14),-
169,(12 12)to(14 14),-
170,(12 12)to(14 14),-
171,(12 12)to(14 14),-
172,(12 12)to(14 14),-
173,(12 12)to(14 14),-
174,(12 12)to(14 14),-
175,(12 12)to(14 14),-
176,(12 12)to(14 14),-
177,(12 12)to(14 14),-
178,(12 12)to(14 14),5
179,(12 12)to(14 14),6
180,(12 12)to(14 14),-
181,(12 12)to(14 14),-
182,(12 12)to(14 14),-
183,(12 12)to(14 14),-
184,(12 12)to(14 14),-
185,(12 12)to(14 14),-
186,(12 12)to(14 14),-
187,(12 12)to(14 14),-
188,(12 12)to(14 14),-
189,(12 12)to(14 14),5
190,(12 12)to(14 14),-
191,(12 12)to(14 14),-
192,(12 12)to(14 14),-
193,(12 12)to(14 14),-
194,(12 12)to(14 14),-
195,(12 12)to(14 14),-
196,(12 12)to(14 14),-
197,(12 12)to(14 14),-
198,(12 12)to(14 14),-
199,(12 12)to(14 14),-
200,(12 12)to(14 14),5
201,(12 12)to(14 14),5
202,(12 12)to(14 14),-
203,(12 12)to(14 14),-
204,(12 12)to(14 14),-
205,(12 12)to(14 14),-
206,(12 12)to(14 14),-
207,(12 12)to(14 14),-
208,(12 12)to(14 14),-
209,(12 12)to(14 14),-
210,(12 12)to(14 14),6
211,(12 12)to(14 14),-
212,(12 12)to(14 14),-
213,(12 12)to(14 14),-
214,(12 12)to(14 14),-
215,(12 12)to(14 14),-
216,(12 12)to(14 14),-
217,(12 12)to(14 14),-
218,(12 12)to(14 14),5
219,(12 12)to(14 14),-
220,(12 12)to(14 14),-
221,(12 12)to(14 14),-
222,(12 12)to(14 14),-
223,(12 12)to(14 14),-
224,(12 12)to(14 14),-
225,(12 12)to(14 14),5
226,(12 12)to(14 14),-
227,(12 12)to(14 14),-
228,(12 12)to(14 14),-
229,(12 12)to(14 14),-
230,(12 12)to(14 14),-
231,(12 12)to(14 14),-
232,(12 12)to(14 14),-
233,(12 12)to(14 14),-
234,(12 12)to(14 14),-
235,(12 12)to(14 14),-
236,(12 12)to(14 14),-
237,(12 12)to(14 14),-
238,(12 12)to(14 14),-
239,(12 12)to(14 14),6
240,(12 12)to(14 14),5
241,(12 12)to(14 14),5
242,(12 12)to(14 14),-
243,(12 12)to(14 14),6
244,(12 12)to(14 14),-
245,(12 12)to(14 14),5
246,(12 12)to(14 14),-
247,(12 12)to(14 14),-
248,(12 12)to(14 14),-
249,(12 12)to(14 14),-
250,(12 12)to(14 14),5
251,(12 12)to(14 14),6
252,(12 12)to(14 14),-
253,(12 12)to(14 14),5
254,(12 12)to(14 14),-
255,(12 12)to(14 14),-
256,(12 12)to(14 14),-
257,(12 12)to(14 14),-
258,(12 12)to(14 14),-
259,(12 12)to(14 14),-
260,(12 12)to(14 14),-
261,(12 12)to(14 14),-
262,(12 12)to(14 14),5
263,(12 12)to(14 14),-
264,(12 12)to(14 14),-
265,(12 12)to(14 14),-
266,(12 12)to(14 14),6
267,(12 12)to(14 14),-
268,(12 12)to(14 14),-
269,(12 12)to(14 14),-
270,(12 12)to(14 14),-
271,(12 12)to(14 14),-
272,(12 12)to(14 14),6
273,(12 12)to(14 14),-
274,(12 12)to(14 14),6
275,(12 12)to(14 14),-
276,(12 12)to(14 14),6
277,(12 12)to(14 14),5
278,(12 12)to(14 14),5
279,(12 12)to(14 14),-
280,(12 12)to(14 14),-
281,(12 12)to(14 14),-
282,(12 12)to(14 14),-
283,(12 12)to(14 14),5
284,(12 12)to(14 14),-
285,(12 12)to(14 14),-
286,(12 12)to(14 14),-
287,(12 12)to(14 14),5
288,(12 12)to(14 14),-
289,(12 12)to(14 14),5
290,(12 12)to(14 14),-
291,(12 12)to(14 14),6
292,(12 12)to(14 14),-
293,(12 12)to(14 14),-
294,(12 12)to(14 14),-
295,(12 12)to(14 14),-
296,(12 12)to(14 14),-
297,(12 12)to(14 14),-
298,(12 12)to(14 14),-
299,(12 12)to(14 14),-
300,(12 12)to(14 14),-
301,(12 12)to(14 14),-
302,(12 12)to(14 14),5
303,(12 12)to(14 14),5
304,(12 12)to(14 14),-
305,(12 12)to(14 14),-
306,(12 12)to(14 14),-
307,(12 12)to(14 14),-
308,(12 12)to(14 14),5
309,(12 12)to(14 14),-
310,(12 12)to(14 14),-
311,(12 12)to(14 14),-
312,(12 12)to(14 14),-
313,(12 12)to(14 14),-
314,(12 12)to(14 14),-
315,(12 12)to(14 14),-
316,(12 12)to(14 14),-
317,(12 12)to(14 14),-
318,(12 12)to(14 14),-
319,(12 12)to(14 14),-
320,(12 12)to(14 14),-
321,(12 12)to(14 14),-
322,(12 12)to(14 14),-
323,(12 12)to(14 14),-
324,(12 12)to(14 14),-
325,(12 12)to(14 14),5
326,(12 12)to(14 14),-
327,(12 12)to(14 14),-
328,(12 12)to(14 14),5
329,(12 12)to(14 14),-
330,(12 12)to(14 14),-
331,(12 12)to(14 14),-
332,(12 12)to(14 14),-
333,(12 12)to(14 14),-
334,(12 12)to(14 14),6
335,(12 12)to(14 14),-
336,(12 12)to(14 14),-
337,(12 12)to(14 14),6
338,(12 12)to(14 14),-
339,(12 12)to(14 14),-
340,(12 12)to(14 14),6
341,(12 12)to(14 14),-
342,(12 12)to(14 14),-
343,(12 12)to(14 14),-
344,(12 12)to(14 14),5
345,(12 12)to(14 14),-
346,(12 12)to(14 14),-
347,(12 12)to(14 14),-
348,(12 12)to(14 14),5
349,(12 12)to(14 14),-
350,(12 12)to(14 14),-
351,(12 12)to(14 14),-
352,(12 12)to(14 14),-
353,(12 12)to(14 14),-
354,(12 12)to(14 14),-
355,(12 12)to(14 14),-
356,(12 12)to(14 14),-
357,(12 12)to(14 14),5
358,(12 12)to(14 14),-
359,(12 12)to(14 14),-
360,(12 12)to(14 14),-
361,(12 12)to(14 14),-
362,(12 12)to(14 14),5
363,(12 12)to(14 14),-
364,(12 12)to(14 14),-
365,(12 12)to(14 14),-
366,(12 12)to(14 14),-
367,(12 12)to(14 14),-
368,(12 12)to(14 14),6
369,(12 12)to(14 14),-
370,(12 12)to(14 14),-
371,(12 12)to(14 14),-
372,(12 12)to(14 14),-
373,(12 12)to(14 14),-
374,(12 12)to(14 14),-
375,(12 12)to(14 14),-
376,(12 12)to(14 14),-
377,(12 12)to(14 14),-
378,(12 12)to(14 14),-
379,(12 12)to(14 14),5
380,(12 12)to(14 14),-
381,(12 12)to(14 14),5
382,(12 12)to(14 14),5
383,(12 12)to(14 14),-
384,(12 12)to(14 14),5
385,(12 12)to(14 14),-
386,(12 12)to(14 14),-
387,(12 12)to(14 14),-
388,(12 12)to(14 14),-
389,(12 12)to(14 14),-
390,(12 12)to(14 14),-
391,(12 12)to(14 14),-
392,(12 12)to(14 14),-
393,(12 12)to(14 14),-
394,(12 12)to(14 14),-
395,(12 12)to(14 14),-
396,(12 12)to(14 14),4
397,(12 12)to(14 14),5
398,(12 12)to(14 14),-
399,(12 12)to(14 14),-
400,(12 12)to(14 14),-
401,(12 12)to(14 14),-
402,(12 12)to(14 14),-
403,(12 12)to(14 14),-
404,(12 12)to(14 14),-
405,(12 12)to(14 14),-
406,(12 12)to(14 14),-
407,(12 12)to(14 14),-
408,(12 12)to(14 14),-
409,(12 12)to(14 14),-
410,(12 12)to(14 14),-
411,(12 12)to(14 14),-
412,(12 12)to(14 14),5
413,(12 12)to(14 14),-
414,(12 12)to(14 14),5
415,(12 12)to(14 14),-
416,(12 12)to(14 14),-
417,(12 12)to(14 14),-
418,(12 12)to(14 14),-
419,(12 12)to(14 14),-
420,(12 12)to(14 14),-
421,(12 12)to(14 14),-
422,(12 12)to(14 14),-
423,(12 12)to(14 14),-
424,(12 12)to(14 14),6
425,(12 12)to(14 14),-
426,(12 12)to(14 14),-
427,(12 12)to(14 14),6
428,(12 12)to(14 14),-
429,(12 12)to(14 14),-
430,(12 12)to(14 14),-
431,(12 12)to(14 14),-
432,(12 12)to(14 14),5
433,(12 12)to(14 14),-
434,(12 12)to(14 14),-
435,(12 12)to(14 14),-
436,(12 12)to(14 14),5
437,(12 12)to(14 14),-
438,(12 12)to(14 14),-
439,(12 12)to(14 14),-
440,(12 12)to(14 14),-
441,(12 12)to(14 14),-
442,(12 12)to(14 14),-
443,(12 12)to(14 14),-
444,(12 12)to(14 14),-
445,(12 12)to(14 14),-
446,(12 12)to(14 14),-
447,(12 12)to(14 14),-
448,(12 12)to(14 14),-
449,(12 12)to(14 14),-
450,(12 12)to(14 14),-
451,(12 12)to(14 14),-
452,(12 12)to(14 14),5
453,(12 12)to(14 14),-
454,(12 12)to(14 14),-
455,(12 12)to(14 14),6
456,(12 12)to(14 14),-
457,(12 12)to(14 14),6
458,(12 12)to(14 14),-
459,(12 12)to(14 14),-
460,(12 12)to(14 14),5
461,(12 12)to(14 14),-
462,(12 12)to(14 14),-
463,(12 12)to(14 14),-
464,(12 12)to(14 14),-
465,(12 12)to(14 14),-
466,(12 12)to(14 14),-
467,(12 12)to(14 14),-
468,(12 12)to(14 14),-
469,(12 12)to(14 14),-
470,(12 12)to(14 14),6
471,(12 12)to(14 14),-
472,(12 12)to(14 14),-
473,(12 12)to(14 14),-
474,(12 12)to(14 14),6
475,(12 12)to(14 14),4
476,(12 12)to(14 14),-
477,(12 12)to(14 14),-
478,(12 12)to(14 14),-
479,(12 12)to(14 14),-
480,(12 12)to(14 14),-
481,(12 12)to(14 14),-
482,(12 12)to(14 14),-
483,(12 12)to(14 14),-
484,(12 12)to(14 14),-
485,(12 12)to(14 14),-
486,(12 12)to(14 14),-
487,(12 12)to(14 14),-
488,(12 12)to(14 14),-
489,(12 12)to(14 14),-
490,(12 12)to(14 14),-
491,(12 12)to(14 14),-
492,(12 12)to(14 14),-
493,(12 12)to(14 14),6
494,(12 12)to(14 14),-
495,(12 12)to(14 14),-
496,(12 12)to(14 14),-
497,(12 12)to(14 14),-
498,(12 12)to(14 14),-
499,(12 12)to(14 14),-
500,(12 12)to(14 14),5
501,(12 12)to(14 14),-
502,(12 12)to(14 14),-
503,(12 12)to(14 14),-
504,(12 12)to(14 14),-
505,(12 12)to(14 14),-
506,(12 12)to(14 14),-
507,(12 12)to(14 14),-
508,(12 12)to(14 14),5
509,(12 12)to(14 14),-
510,(12 12)to(14 14),-
511,(12 12)to(14 14),-
512,(12 12)to(14 14),-
513,(12 12)to(14 14),-
514,(12 12)to(14 14),5
515,(12 12)to(14 14),-
516,(12 12)to(14 14),-
517,(12 12)to(14 14),-
518,(12 12)to(14 14),-
519,(12 12)to(14 14),-
520,(12 12)to(14 14),-
521,(12 12)to(14 14),-
522,(12 12)to(14 14),-
523,(12 12)to(14 14),-
524,(12 12)to(14 14),-
525,(12 12)to(14 14),-
526,(12 12)to(14 14),-
527,(12 12)to(14 14),5
528,(12 12)to(14 14),-
529,(12 12)to(14 14),-
530,(12 12)to(14 14),-
531,(12 12)to(14 14),-
532,(12 12)to(14 14),-
533,(12 12)to(14 14),-
534,(12 12)to(14 14),-
535,(12 12)to(14 14),-
536,(12 12)to(14 14),-
537,(12 12)to(14 14),-
538,(12 12)to(14 14),-
539,(12 12)to(14 14),5
540,(12 12)to(14 14),6
541,(12 12)to(14 14),-
542,(12 12)to(14 14),-
543,(12 12)to(14 14),-
544,(12 12)to(14 14),-
545,(12 12)to(14 14),-
546,(12 12)to(14 14),-
547,(12 12)to(14 14),-
548,(12 12)to(14 14),-
549,(12 12)to(14 14),-
550,(12 12)to(14 14),5
551,(12 12)to(14 14),-
552,(12 12)to(14 14),5
553,(12 12)to(14 14),-
554,(12 12)to(14 14),-
555,(12 12)to(14 14),-
556,(12 12)to(14 14),-
557,(12 12)to(14 14),-
558,(12 12)to(14 14),-
559,(12 12)to(14 14),-
560,(12 12)to(14 14),-
561,(12 12)to(14 14),-
562,(12 12)to(14 14),-
563,(12 12)to(14 14),-
564,(12 12)to(14 14),5
565,(12 12)to(14 14),-
566,(12 12)to(14 14),-
567,(12 12)to(14 14),-
568,(12 12)to(14 14),-
569,(12 12)to(14 14),-
570,(12 12)to(14 14),-
571,(12 12)to(14 14),5
572,(12 12)to(14 14),-
573,(12 12)to(14 14),-
574,(12 12)to(14 14),-
575,(12 12)to(14 14),-
576,(12 12)to(14 14),-
577,(12 12)to(14 14),-
578,(12 12)to(14 14),-
579,(12 12)to(14 14),-
580,(12 12)to(14 14),-
581,(12 12)to(14 14),-
582,(12 12)to(14 14),6
583,(12 12)to(14 14),-
584,(12 12)to(14 14),-
585,(12 12)to(14 14),-
586,(12 12)to(14 14),-
587,(12 12)to(14 14),-
588,(12 12)to(14 14),-
589,(12 12)to(14 14),-
590,(12 12)to(14 14),-
591,(12 12)to(14 14),-
592,(12 12)to(14 14),-
593,(12 12)to(14 14),-
594,(12 12)to(14 14),-
595,(12 12)to(14 14),5
596,(12 12)to(14 14),-
597,(12 12)to(14 14),-
598,(12 12)to(14 14),-
599,(12 12)to(14 14),-
600,(12 12)to(14 14),-
601,(12 12)to(14 14),-
602,(12 12)to(14 14),6
603,(12 12)to(14 14),-
604,(12 12)to(14 14),-
605,(12 12)to(14 14),-
606,(12 12)to(14 14),-
607,(12 12)to(14 14),-
608,(12 12)to(14 14),-
609,(12 12)to(14 14),-
610,(12 12)to(14 14),-
611,(12 12)to(14 14),-
612,(12 12)to(14 14),-
613,(12 12)to(14 14),-
614,(12 12)to(14 14),-
615,(12 12)to(14 14),-
616,(12 12)to(14 14),-
617,(12 12)to(14 14),-
618,(12 12)to(14 14),-
619,(12 12)to(14 14),-
620,(12 12)to(14 14),-
621,(12 12)to(14 14),-
622,(12 12)to(14 14),-
623,(12 12)to(14 14),-
624,(12 12)to(14 14),-
625,(12 12)to(14 14),-
626,(12 12)to(14 14),-
627,(12 12)to(14 14),-
628,(12 12)to(14 14),5
629,(12 12)to(14 14),-
630,(12 12)to(14 14),-
631,(12 12)to(14 14),-
632,(12 12)to(14 14),-
633,(12 12)to(14 14),-
634,(12 12)to(14 14),-
635,(12 12)to(14 14),-
636,(12 12)to(14 14),-
637,(12 12)to(14 14),-
638,(12 12)to(14 14),-
639,(12 12)to(14 14),-
640,(12 12)to(14 14),-
641,(12 12)to(14 14),-
642,(12 12)to(14 14),6
643,(12 12)to(14 14),5
644,(12 12)to(14 14),5
645,(12 12)to(14 14),-
646,(12 12)to(14 14),-
647,(12 12)to(14 14),-
648,(12 12)to(14 14),-
649,(12 12)to(14 14),-
650,(12 12)to(14 14),-
651,(12 12)to(14 14),-
652,(12 12)to(14 14),-
653,(12 12)to(14 14),-
654,(12 12)to(14 14),-
655,(12 12)to(14 14),-
656,(12 12)to(14 14),-
657,(12 12)to(14 14),-
658,(12 12)to(14 14),-
659,(12 12)to(14 14),-
660,(12 12)to(14 14),-
661,(12 12)to(14 14),-
662,(12 12)to(14 14),-
663,(12 12)to(14 14),-
664,(12 12)to(14 14),-
665,(12 12)to(14 14),-
666,(12 12)to(14 14),-
667,(12 12)to(14 14),-
668,(12 12)to(14 14),6
669,(12 12)to(14 14),-
670,(12 12)to(14 14),-
671,(12 12)to(14 14),-
672,(12 12)to(14 14),-
673,(12 12)to(14 14),-
674,(12 12)to(14 14),5
675,(12 12)to(14 14),-
676,(12 12)to(14 14),-
677,(12 12)to(14 14),-
678,(12 12)to(14 14),4
679,(12 12)to(14 14),-
680,(12 12)to(14 14),-
681,(12 12)to(14 14),-
682,(12 12)to(14 14),-
683,(12 12)to(14 14),-
684,(12 12)to(14 14),5
685,(12 12)to(14 14),5
686,(12 12)to(14 14),5
687,(12 12)to(14 14),-
688,(12 12)to(14 14),-
689,(12 12)to(14 14),-
690,(12 12)to(14 14),-
691,(12 12)to(14 14),-
692,(12 12)to(14 14),-
693,(12 12)to(14 14),-
694,(12 12)to(14 14),-
695,(12 12)to(14 14),-
696,(12 12)to(14 14),6
697,(12 12)to(14 14),-
698,(12 12)to(14 14),-
699,(12 12)to(14 14),-
700,(12 12)to(14 14),5
701,(12 12)to(14 14),-
702,(12 12)to(14 14),-
703,(12 12)to(14 14),-
704,(12 12)to(14 14),-
705,(12 12)to(14 14),-
706,(12 12)to(14 14),-
707,(12 12)to(14 14),-
708,(12 12)to(14 14),-
709,(12 12)to(14 14),-
710,(12 12)to(14 14),-
711,(12 12)to(14 14),5
712,(12 12)to(14 14),-
713,(12 12)to(14 14),-
714,(12 12)to(14 14),-
715,(12 12)to(14 14),-
716,(12 12)to(14 14),-
717,(12 12)to(14 14),-
718,(12 12)to(14 14),-
719,(12 12)to(14 14),-
720,(12 12)to(14 14),-
721,(12 12)to(14 14),-
722,(12 12)to(14 14),-
723,(12 12)to(14 14),-
724,(12 12)to(14 14),-
725,(12 12)to(14 14),-
726,(12 12)to(14 14),-
727,(12 12)to(14 14),5
728,(12 12)to(14 14),-
729,(12 12)to(14 14),-
730,(12 12)to(14 14),6
731,(12 12)to(14 14),-
732,(12 12)to(14 14),5
733,(12 12)to(14 14),-
734,(12 12)to(14 14),-
735,(12 12)to(14 14),-
736,(12 12)to(14 14),-
737,(12 12)to(14 14),5
738,(12 12)to(14 14),-
739,(12 12)to(14 14),-
740,(12 12)to(14 14),5
741,(12 12)to(14 14),-
742,(12 12)to(14 14),-
743,(12 12)to(14 14),-
744,(12 12)to(14 14),-
745,(12 12)to(14 14),-
746,(12 12)to(14 14),-
747,(12 12)to(14 14),-
748,(12 12)to(14 14),-
749,(12 12)to(14 14),-
750,(12 12)to(14 14),6
751,(12 12)to(14 14),5
752,(12 12)to(14 14),4
753,(12 12)to(14 14),-
754,(12 12)to(14 14),-
755,(12 12)to(14 14),-
756,(12 12)to(14 14),-
757,(12 12)to(14 14),-
758,(12 12)to(14 14),-
759,(12 12)to(14 14),6
760,(12 12)to(14 14),-
761,(12 12)to(14 14),-
762,(12 12)to(14 14),-
763,(12 12)to(14 14),-
764,(12 12)to(14 14),6
765,(12 12)to(14 14),-
766,(12 12)to(14 14),-
767,(12 12)to(14 14),-
768,(12 12)to(14 14),6
769,(12 12)to(14 14),-
770,(12 12)to(14 14),-
771,(12 12)to(14 14),-
772,(12 12)to(14 14),-
773,(12 12)to(14 14),-
774,(12 12)to(14 14),-
775,(12 12)to(14 14),6
776,(12 12)to(14 14),6
777,(12 12)to(14 14),-
778,(12 12)to(14 14),-
779,(12 12)to(14 14),-
780,(12 12)to(14 14),-
781,(12 12)to(14 14),-
782,(12 12)to(14 14),5
783,(12 12)to(14 14),-
784,(12 12)to(14 14),-
785,(12 12)to(14 14),-
786,(12 12)to(14 14),6
787,(12 12)to(14 14),-
788,(12 12)to(14 14),5
789,(12 12)to(14 14),-
790,(12 12)to(14 14),-
791,(12 12)to(14 14),-
792,(12 12)to(14 14),-
793,(12 12)to(14 14),-
794,(12 12)to(14 14),5
795,(12 12)to(14 14),-
796,(12 12)to(14 14),-
797,(12 12)to(14 14),-
798,(12 12)to(14 14),-
799,(12 12)to(14 14),-
800,(12 12)to(14 14),-
801,(12 12)to(14 14),5
802,(12 12)to(14 14),-
803,(12 12)to(14 14),-
804,(12 12)to(14 14),6
805,(12 12)to(14 14),-
806,(12 12)to(14 14),-
807,(12 12)to(14 14),-
808,(12 12)to(14 14),-
809,(12 12)to(14 14),-
810,(12 12)to(14 14),-
811,(12 12)to(14 14),-
812,(12 12)to(14 14),-
813,(12 12)to(14 14),-
814,(12 12)to(14 14),-
815,(12 12)to(14 14),-
816,(12 12)to(14 14),-
817,(12 12)to(14 14),-
818,(12 12)to(14 14),-
819,(12 12)to(14 14),6
820,(12 12)to(14 14),6
821,(12 12)to(14 14),-
822,(12 12)to(14 14),5
823,(12 12)to(14 14),5
824,(12 12)to(14 14),-
825,(12 12)to(14 14),-
826,(12 12)to(14 14),-
827,(12 12)to(14 14),-
828,(12 12)to(14 14),-
829,(12 12)to(14 14),-
830,(12 12)to(14 14),-
831,(12 12)to(14 14),-
832,(12 12)to(14 14),-
833,(12 12)to(14 14),5
834,(12 12)to(14 14),-
835,(12 12)to(14 14),-
836,(12 12)to(14 14),-
837,(12 12)to(14 14),5
838,(12 12)to(14 14),-
839,(12 12)to(14 14),-
840,(12 12)to(14 14),-
841,(12 12)to(14 14),-
842,(12 12)to(14 14),-
843,(12 12)to(14 14),-
844,(12 12)to(14 14),-
845,(12 12)to(14 14),5
846,(12 12)to(14 14),-
847,(12 12)to(14 14),-
848,(12 12)to(14 14),-
849,(12 12)to(14 14),-
850,(12 12)to(14 14),-
851,(12 12)to(14 14),5
852,(12 12)to(14 14),5
853,(12 12)to(14 14),-
854,(12 12)to(14 14),-
855,(12 12)to(14 14),-
856,(12 12)to(14 14),6
857,(12 12)to(14 14),-
858,(12 12)to(14 14),-
859,(12 12)to(14 14),-
860,(12 12)to(14 14),-
861,(12 12)to(14 14),-
862,(12 12)to(14 14),-
863,(12 12)to(14 14),-
864,(12 12)to(14 14),5
865,(12 12)to(14 14),-
866,(12 12)to(14 14),-
867,(12 12)to(14 14),-
868,(12 12)to(14 14),-
869,(12 12)to(14 14),-
870,(12 12)to(14 14),5
871,(12 12)to(14 14),-
872,(12 12)to(14 14),6
873,(12 12)to(14 14),-
874,(12 12)to(14 14),-
875,(12 12)to(14 14),-
876,(12 12)to(14 14),-
877,(12 12)to(14 14),-
878,(12 12)to(14 14),-
879,(12 12)to(14 14),-
880,(12 12)to(14 14),5
881,(12 12)to(14 14),-
882,(12 12)to(14 14),-
883,(12 12)to(14 14),-
884,(12 12)to(14 14),-
885,(12 12)to(14 14),5
886,(12 12)to(14 14),-
887,(12 12)to(14 14),-
888,(12 12)to(14 14),-
889,(12 12)to(14 14),-
890,(12 12)to(14 14),-
891,(12 12)to(14 14),-
892,(12 12)to(14 14),-
893,(12 12)to(14 14),-
894,(12 12)to(14 14),-
895,(12 12)to(14 14),-
896,(12 12)to(14 14),6
897,(12 12)to(14 14),-
898,(12 12)to(14 14),-
899,(12 12)to(14 14),-
900,(12 12)to(14 14),5
901,(12 12)to(14 14),-
902,(12 12)to(14 14),-
903,(12 12)to(14 14),6
904,(12 12)to(14 14),-
905,(12 12)to(14 14),-
906,(12 12)to(14 14),-
907,(12 12)to(14 14),6
908,(12 12)to(14 14),-
909,(12 12)to(14 14),-
910,(12 12)to(14 14),-
911,(12 12)to(14 14),-
912,(12 12)to(14 14),-
913,(12 12)to(14 14),-
914,(12 12)to(14 14),-
915,(12 12)to(14 14),-
916,(12 12)to(14 14),-
917,(12 12)to(14 14),-
918,(12 12)to(14 14),5
919,(12 12)to(14 14),-
920,(12 12)to(14 14),-
921,(12 12)to(14 14),-
922,(12 12)to(14 14),-
923,(12 12)to(14 14),-
924,(12 12)to(14 14),-
925,(12 12)to(14 14),-
926,(12 12)to(14 14),-
927,(12 12)to(14 14),4
928,(12 12)to(14 14),-
929,(12 12)to(14 14),-
930,(12 12)to(14 14),6
